repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
10,12,-1.35,Intercept,15.033378175,0.4090596100109432,14.215665000000001,15.8533075
10,12,-1.35,conditionleft,-1.1177155436925,0.4999007559227245,-2.1094194999999996,-0.123727075
10,12,-1.35,conditionright,-0.4557043411625,0.23427841574585068,-0.918303375,0.0010506385000000323
10,12,-1,Intercept,15.631322025,0.37354782369402983,14.8840775,16.380145
10,12,-1,conditionleft,-1.436426065875,0.3820373361807385,-2.19620525,-0.685429175
10,12,-1,conditionright,-0.2569362394704,0.23157303772608637,-0.723420725,0.18607955000000007
10,16,-1.71,Intercept,15.241629175,0.34922124972090907,14.54887,15.958505
10,16,-1.71,conditionleft,-1.87587978325,0.39920798970424826,-2.64747075,-1.066767
10,16,-1.71,conditionright,0.15166531147125,0.20702335137777422,-0.266358775,0.5501901500000002
10,16,-1.35,Intercept,14.89637565,0.29322580701662776,14.325997500000001,15.479659999999999
10,16,-1.35,conditionleft,-1.52549688525,0.2972131968642815,-2.1017867500000005,-0.9160243749999996
10,16,-1.35,conditionright,-0.09592575130675,0.21069066696056513,-0.512595875,0.3229795500000003
10,16,-1,Intercept,15.03378465,0.29983945508235493,14.4330825,15.624
10,16,-1,conditionleft,-1.1532782935399999,0.34412345542319206,-1.8378970000000001,-0.48553274999999996
10,16,-1,conditionright,-0.316165101107525,0.2434187098413117,-0.8061329500000001,0.155650575
11,8,-1.71,Intercept,14.651679475,0.36267301888323705,13.937785,15.3702225
11,8,-1.71,conditionleft,-1.372775015375,0.3748426929401074,-2.07868125,-0.6407109999999998
11,8,-1.71,conditionright,-0.064659110159625,0.2693487078001945,-0.5959682,0.4507187250000001
11,8,-1.35,Intercept,13.868741475,0.4823679105803098,12.8938175,14.85085
11,8,-1.35,conditionleft,-0.6426838956452,0.5292631060211086,-1.71556625,0.4478044750000002
11,8,-1.35,conditionright,0.0541538191091,0.2533386254083709,-0.44474810000000004,0.5544398750000001
11,8,-1,Intercept,15.0502267,0.6621126844834258,13.7304825,16.4114025
11,8,-1,conditionleft,-0.66018416383975,0.6175428306659075,-1.83261475,0.6025670000000002
11,8,-1,conditionright,0.15036047595325,0.5134810359384518,-0.8473051499999998,1.1670645000000002
11,12,-1.71,Intercept,14.992502275,0.31896160763344295,14.375297499999999,15.6314675
11,12,-1.71,conditionleft,-1.3095328469825,0.5340051881630491,-2.3795534999999997,-0.2253059749999999
11,12,-1.71,conditionright,-0.29874321196825,0.23708193407361655,-0.7432832500000001,0.193468925
11,12,-1.35,Intercept,14.622105325,0.41510007515928454,13.7933775,15.446342500000002
11,12,-1.35,conditionleft,-0.219056097884325,0.4825407749360026,-1.17426975,0.7280478250000003
11,12,-1.35,conditionright,-0.0050852859455000005,0.2405409402343577,-0.47729467500000006,0.48007680000000014
11,12,-1,Intercept,15.62243695,0.38657131135068384,14.8630975,16.392897500000004
11,12,-1,conditionleft,-1.108974660672,0.47136670824659344,-2.0209135000000003,-0.14426504999999998
11,12,-1,conditionright,-0.32211153959295,0.2937798011835228,-0.912528,0.2643535
11,16,-1.71,Intercept,14.5394352,0.3287371390984226,13.863829999999998,15.1947375
11,16,-1.71,conditionleft,-1.1312558570275,0.3441189781500338,-1.8280335,-0.45878919999999984
11,16,-1.71,conditionright,0.07523206641165,0.21469221627465354,-0.33540692499999997,0.5055400750000001
11,16,-1.35,Intercept,15.12796075,0.3405276024663021,14.456697499999999,15.7949375
11,16,-1.35,conditionleft,-1.45265046655,0.4888133800930729,-2.4117905,-0.4637729749999997
11,16,-1.35,conditionright,-0.026988011292875,0.17783330847443957,-0.367732225,0.324116625
11,16,-1,Intercept,15.4969626,0.3039284349474929,14.88566,16.080112500000002
11,16,-1,conditionleft,-1.3513833137875,0.37662608512752344,-2.1187532499999997,-0.6390805249999997
11,16,-1,conditionright,-0.310381184166,0.21754085673881318,-0.7353326499999999,0.11462885000000032
12,8,-1.71,Intercept,14.62263725,0.44526368055764826,13.736717500000001,15.5278575
12,8,-1.71,conditionleft,-1.409504970045,0.3915968764490707,-2.1822505,-0.6173371999999999
12,8,-1.71,conditionright,0.2893170316405,0.3122059758290866,-0.305001,0.9122862249999999
12,8,-1.35,Intercept,15.434822625,0.4382282844624878,14.543162500000001,16.30541
12,8,-1.35,conditionleft,-1.340081090605,0.6198084326436729,-2.51422575,-0.0419179649999992
12,8,-1.35,conditionright,-0.28391723025975,0.34464323581367745,-0.97147185,0.39684237500000025
12,8,-1,Intercept,15.024087725,0.4583887888596998,14.072197500000001,15.916977500000002
12,8,-1,conditionleft,-1.296704110075,0.45949331563505397,-2.2085945000000002,-0.3451615249999995
