repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
7,16,-1,left,-1.52772211825,0.3754290466757397,-2.26639575,-0.7632142
7,16,-1,right,-0.38450645774725,0.17760911871868548,-0.743637325,-0.038654807499999964
8,8,-1.71,left,-2.51308926855,0.7765063551257394,-4.02811425,-0.9344077749999997
8,8,-1.71,right,-0.40237132271475,0.2467977773268777,-0.896202025,0.08677493000000003
8,8,-1.35,left,-1.6666737775,0.5126743642248295,-2.6829392499999996,-0.6355803750000001
8,8,-1.35,right,0.009351122161925,0.31770780530106785,-0.614728125,0.655852825
8,8,-1,left,-1.466682923405,0.679734132247889,-2.811339,-0.10717132499999997
8,8,-1,right,-0.236231531287405,0.3055311634573447,-0.83333795,0.35517417500000015
8,12,-1.71,left,-2.24922495775,0.5067834083048386,-3.23481975,-1.231262499999999
8,12,-1.71,right,0.0577387980354,0.1937833765187097,-0.33349107499999997,0.44515125000000033
8,12,-1.35,left,-2.077943464995,0.5471641895160642,-3.1284215,-0.9677425999999996
8,12,-1.35,right,-0.338152138504,0.24601839678855253,-0.8378672,0.15530382500000006
8,12,-1,left,-1.050104845075,0.46571714502863265,-1.957481,-0.10345354999999998
8,12,-1,right,0.021595320182695,0.2266031760657908,-0.419959175,0.47063085
8,16,-1.71,left,-2.0809941675,0.4366832578171888,-2.933434,-1.2372839999999998
8,16,-1.71,right,-0.1023022376077,0.21356455311812073,-0.529022225,0.3307983750000002
8,16,-1.35,left,-1.187851256185,0.4012203154170212,-1.9527035,-0.40911259999999994
8,16,-1.35,right,-0.06889926360545,0.18164202608087426,-0.4190035,0.288645375
8,16,-1,left,-0.9988968344125,0.3543978717229505,-1.68109375,-0.29157924999999935
8,16,-1,right,-0.2927139870115,0.16345803634709097,-0.6093784999999999,0.03228593750000005
9,8,-1.71,left,-2.2092118384,0.6890115728325696,-3.57828475,-0.8596566499999999
9,8,-1.71,right,0.110154777614425,0.37440515970376315,-0.6455848,0.883950925
9,8,-1.35,left,-1.025834622993525,0.5984940834236105,-2.14981525,0.20800030000000005
9,8,-1.35,right,-0.381183799168,0.229323534787432,-0.8318722499999999,0.07222658250000007
9,8,-1,left,-1.4295971720425,0.4310520192675543,-2.29458925,-0.5504385999999997
9,8,-1,right,-0.13142247064325,0.2849267268628075,-0.6971497,0.4446005500000002
9,12,-1.71,left,-2.67294706525,0.4319100103282742,-3.48715175,-1.8120375
9,12,-1.71,right,-0.188641988369,0.2926382411799199,-0.75780645,0.39608512500000004
9,12,-1.35,left,-1.643878622825,0.43117489468762443,-2.5008855,-0.7787781499999998
9,12,-1.35,right,-0.0792609171923,0.23473425476173132,-0.536382925,0.3910470750000001
9,12,-1,left,-1.1222240774175,0.3970377008513844,-1.90982275,-0.3276365249999999
9,12,-1,right,0.00814586757975,0.2090089077698219,-0.41137675,0.41312815
9,16,-1.71,left,-1.8952587435,0.42016698645564066,-2.7175552499999998,-1.06890425
9,16,-1.71,right,-0.4412590821025,0.1799522686930711,-0.785968775,-0.09155217499999976
9,16,-1.35,left,-1.475315361525,0.3821494160413316,-2.2187865,-0.7007813249999999
9,16,-1.35,right,0.120766468999475,0.1947989730493276,-0.275036925,0.49251932499999995
